symbol,timestamp,source,data_type,bid,ask,price,volume,spread_raw,spread_table,volatility,market_sentiment,trading_activity
BP,1736084262551,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.3,9933438.0,-1.0,-1.0,0.782,-0.249,60.68
BP,1736084266459,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.27,10393781.0,-1.0,-1.0,0.793,-0.334,58.16
XOM,1736084267299,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.26,13686123.0,-1.0,-1.0,1.087,-0.587,94.4
SHEL,1736084267775,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.32,6328465.0,-1.0,-1.0,1.43,0.776,84.81
COP,1736084274695,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.31,1662613.0,-1.0,-1.0,0.327,-0.368,4.56
XOM,1736084281280,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.91,13370750.0,-1.0,-1.0,1.096,-0.798,90.5
COP,1736084285761,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.57,1685394.0,-1.0,-1.0,0.323,-0.6,16.35
SHEL,1736084286128,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.97,5899992.0,-1.0,-1.0,1.474,0.972,78.87
SHEL,1736084295877,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.43,5392851.0,-1.0,-1.0,1.439,0.918,81.11
SHEL,1736084296414,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.64,5483291.0,-1.0,-1.0,1.416,0.853,82.6
BP,1736084296992,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.36,10185893.0,-1.0,-1.0,0.771,-0.386,60.64
XOM,1736084302354,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.59,13983223.0,-1.0,-1.0,1.082,-0.842,95.54
BP,1736084303082,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.32,9785558.0,-1.0,-1.0,0.773,-0.419,64.01
XOM,1736084312073,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.6,14731570.0,-1.0,-1.0,1.117,-0.928,87.52
SHEL,1736084313381,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.79,5708882.0,-1.0,-1.0,1.419,0.845,89.38
COP,1736084313826,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.29,1729632.0,-1.0,-1.0,0.329,-0.732,11.14
COP,1736084315445,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.51,1673823.0,-1.0,-1.0,0.326,-0.664,8.39
COP,1736084319232,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.3,1696484.0,-1.0,-1.0,0.327,-0.628,8.66
SHEL,1736084321673,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.57,5523013.0,-1.0,-1.0,1.447,0.797,85.75
SHEL,1736084322793,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.63,5309656.0,-1.0,-1.0,1.431,0.804,89.66
XOM,1736084324195,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.08,14476897.0,-1.0,-1.0,1.112,-0.883,82.3
BP,1736084328421,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.36,8816784.0,-1.0,-1.0,0.711,-0.431,82.96
XOM,1736084332040,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.0,14696861.0,-1.0,-1.0,1.108,-0.818,80.94
COP,1736084336865,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.48,1391837.0,-1.0,-1.0,0.337,-0.458,0.93
COP,1736084339824,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.11,1441675.0,-1.0,-1.0,0.339,-0.484,0.0
SHEL,1736084341044,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.66,5220082.0,-1.0,-1.0,1.471,0.752,100.0
XOM,1736084342767,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.5,13725827.0,-1.0,-1.0,1.076,-0.828,82.17
COP,1736084346155,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.98,1374348.0,-1.0,-1.0,0.338,-0.531,0.46
BP,1736084347478,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.13,8476563.0,-1.0,-1.0,0.704,-0.404,86.0
COP,1736084357774,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.06,1359574.0,-1.0,-1.0,0.333,-0.481,8.75
XOM,1736084360323,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.53,12814417.0,-1.0,-1.0,1.087,-0.746,77.9
COP,1736084362277,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.62,1424939.0,-1.0,-1.0,0.341,-0.491,17.05
BP,1736084367531,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.29,9248377.0,-1.0,-1.0,0.712,-0.245,84.38
BP,1736084371516,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.27,9051888.0,-1.0,-1.0,0.699,-0.338,85.0
BP,1736084379258,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.57,9320735.0,-1.0,-1.0,0.689,-0.33,84.94
XOM,1736084381012,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.2,13951999.0,-1.0,-1.0,1.077,-0.618,82.42
BP,1736084389964,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.71,10312957.0,-1.0,-1.0,0.678,-0.319,92.63
XOM,1736084392980,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.21,15412136.0,-1.0,-1.0,1.102,-0.717,79.89
SHEL,1736084396877,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.37,5454631.0,-1.0,-1.0,1.568,0.603,92.02
BP,1736084397517,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.79,10563883.0,-1.0,-1.0,0.678,-0.288,84.49
COP,1736084399229,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,102.09,1502689.0,-1.0,-1.0,0.323,-0.331,20.13
SHEL,1736084401813,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.55,5482915.0,-1.0,-1.0,1.528,0.608,95.96
XOM,1736084402861,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.74,16039600.0,-1.0,-1.0,1.106,-0.682,80.92
COP,1736084403902,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.96,1514284.0,-1.0,-1.0,0.324,-0.248,24.34
SHEL,1736084407806,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.69,5430943.0,-1.0,-1.0,1.526,0.565,96.87
XOM,1736084411649,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,107.95,13196204.0,-1.0,-1.0,0.851,0.716,60.77
BP,1736084413612,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.34,6416097.0,-1.0,-1.0,0.267,-0.089,57.93
BP,1736084417052,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.38,6545566.0,-1.0,-1.0,0.262,0.067,57.55
XOM,1736084423213,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,107.55,13488252.0,-1.0,-1.0,0.847,0.763,50.08
SHEL,1736084425795,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.7,5017505.0,-1.0,-1.0,1.184,0.019,35.77
XOM,1736084427314,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,107.67,13649911.0,-1.0,-1.0,0.847,0.796,48.63
BP,1736084430933,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.4,6530163.0,-1.0,-1.0,0.268,0.452,57.71
XOM,1736084433222,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,106.95,14325564.0,-1.0,-1.0,0.831,0.88,43.81
XOM,1736084434670,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,107.02,15013286.0,-1.0,-1.0,0.824,0.927,43.38
BP,1736084440356,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.32,6699829.0,-1.0,-1.0,0.265,0.555,46.02
COP,1736084442671,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.55,3533503.0,-1.0,-1.0,0.558,0.466,6.94
BP,1736084445692,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.22,6651891.0,-1.0,-1.0,0.265,0.6,51.37
COP,1736084451160,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.98,3296051.0,-1.0,-1.0,0.573,0.401,7.74
BP,1736084452994,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.31,6841645.0,-1.0,-1.0,0.268,0.578,55.91
COP,1736084453262,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.18,3259144.0,-1.0,-1.0,0.572,0.477,5.46
BP,1736084453854,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.44,7004073.0,-1.0,-1.0,0.263,0.606,54.25
BP,1736084455174,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.39,6877256.0,-1.0,-1.0,0.258,0.627,58.92
SHEL,1736084465046,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.36,5301583.0,-1.0,-1.0,1.165,-0.098,37.83
XOM,1736084465338,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.7,14069560.0,-1.0,-1.0,0.839,0.913,37.47
BP,1736084467277,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.92,6948933.0,-1.0,-1.0,0.252,0.76,61.17
SHEL,1736084467666,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.44,5392272.0,-1.0,-1.0,1.163,-0.057,42.01
BP,1736084472741,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.96,7090117.0,-1.0,-1.0,0.248,0.68,57.26
XOM,1736084477221,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.98,13548706.0,-1.0,-1.0,0.864,0.865,39.34
COP,1736084481556,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.39,3152140.0,-1.0,-1.0,0.575,0.554,11.22
SHEL,1736084486660,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.19,5470573.0,-1.0,-1.0,1.159,-0.074,32.23
XOM,1736084487927,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.95,13432775.0,-1.0,-1.0,0.851,0.962,28.24
COP,1736084489448,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.17,3264746.0,-1.0,-1.0,0.579,0.6,13.56
SHEL,1736084489622,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.9,5641719.0,-1.0,-1.0,1.171,-0.012,34.01
XOM,1736084491223,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,106.2,13535382.0,-1.0,-1.0,0.849,0.932,30.99
COP,1736084493738,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.29,3452619.0,-1.0,-1.0,0.578,0.611,12.0
COP,1736084496793,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.67,3477473.0,-1.0,-1.0,0.581,0.529,16.69
SHEL,1736084497134,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.13,5731907.0,-1.0,-1.0,1.166,-0.041,30.72
XOM,1736084503967,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.89,12006947.0,-1.0,-1.0,0.879,0.892,35.54
BP,1736084506354,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.77,7814867.0,-1.0,-1.0,0.254,0.652,53.58
XOM,1736084507075,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.7,11930745.0,-1.0,-1.0,0.885,0.963,38.6
BP,1736084508513,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.08,8003496.0,-1.0,-1.0,0.256,0.709,46.99
COP,1736084517690,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.34,3453978.0,-1.0,-1.0,0.571,0.324,21.33
XOM,1736084521988,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.63,11299959.0,-1.0,-1.0,0.875,1.0,39.24
BP,1736084522691,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.97,7976087.0,-1.0,-1.0,0.254,0.656,45.11
BP,1736084524519,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.91,7956101.0,-1.0,-1.0,0.251,0.564,42.38
XOM,1736084526638,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.52,10826780.0,-1.0,-1.0,0.884,1.0,35.36
SHEL,1736084536373,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.66,6875485.0,-1.0,-1.0,1.165,-0.014,42.87
XOM,1736084538163,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.0,11127617.0,-1.0,-1.0,0.869,0.947,32.26
COP,1736084538408,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.34,3641832.0,-1.0,-1.0,0.547,0.412,4.18
BP,1736084539882,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.8,7711065.0,-1.0,-1.0,0.256,0.621,43.57
BP,1736084541234,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.74,7541559.0,-1.0,-1.0,0.258,0.492,44.52
SHEL,1736084542491,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.52,6832775.0,-1.0,-1.0,1.183,-0.019,38.5
SHEL,1736084543525,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.63,6656983.0,-1.0,-1.0,1.176,0.065,43.18
XOM,1736084548088,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,104.43,11686424.0,-1.0,-1.0,0.849,0.97,26.15
XOM,1736084550884,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.05,11593710.0,-1.0,-1.0,0.841,0.94,30.82
SHEL,1736084552073,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.85,6659126.0,-1.0,-1.0,1.169,-0.006,44.67
XOM,1736084552560,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.23,11897947.0,-1.0,-1.0,0.826,0.853,32.4
COP,1736084553317,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.32,3631174.0,-1.0,-1.0,0.55,0.162,8.52
COP,1736084554976,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.0,3406280.0,-1.0,-1.0,0.543,0.153,11.15
BP,1736084555796,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.76,7514126.0,-1.0,-1.0,0.251,0.553,44.75
XOM,1736084556297,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.17,11882315.0,-1.0,-1.0,0.833,0.843,28.85
BP,1736084559785,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.6,7436935.0,-1.0,-1.0,0.246,0.524,48.81
BP,1736084560449,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.59,7686413.0,-1.0,-1.0,0.242,0.543,46.41
SHEL,1736084562626,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.29,6141857.0,-1.0,-1.0,1.154,-0.012,38.22
SHEL,1736084563530,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.41,5999880.0,-1.0,-1.0,1.137,-0.094,42.42
BP,1736084566650,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.9,7514195.0,-1.0,-1.0,0.234,0.645,56.13
XOM,1736084567440,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.56,11719023.0,-1.0,-1.0,0.84,0.828,38.12
XOM,1736084568479,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.54,11640560.0,-1.0,-1.0,0.841,0.857,35.3
XOM,1736084570992,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.99,11661348.0,-1.0,-1.0,0.848,0.754,27.59
SHEL,1736084572966,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.5,6254758.0,-1.0,-1.0,1.177,-0.137,47.38
BP,1736084574281,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.78,7403753.0,-1.0,-1.0,0.234,0.701,59.59
XOM,1736084574666,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.99,11173418.0,-1.0,-1.0,0.853,0.698,30.51
COP,1736084575967,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.35,3316598.0,-1.0,-1.0,0.565,0.12,3.43
XOM,1736084576298,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,106.03,11246568.0,-1.0,-1.0,0.842,0.743,28.19
COP,1736084579151,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.61,3420057.0,-1.0,-1.0,0.572,0.332,2.41
XOM,1736084581087,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.79,10716738.0,-1.0,-1.0,0.834,0.69,31.61
XOM,1736084587791,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,106.13,11188394.0,-1.0,-1.0,0.841,0.709,30.1
SHEL,1736084593955,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.31,6286180.0,-1.0,-1.0,1.171,-0.228,49.16
XOM,1736084594309,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,106.2,11545614.0,-1.0,-1.0,0.825,0.655,32.38
COP,1736084596491,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.05,3031470.0,-1.0,-1.0,0.579,0.129,2.94
BP,1736084598976,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.19,6435919.0,-1.0,-1.0,0.239,0.562,63.11
BP,1736084606293,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.13,6068331.0,-1.0,-1.0,0.236,0.563,68.16
SHEL,1736084607558,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.78,5891892.0,-1.0,-1.0,1.151,-0.22,46.42
SHEL,1736084608552,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.88,6071408.0,-1.0,-1.0,1.156,-0.282,50.83
BP,1736084610503,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.28,6085957.0,-1.0,-1.0,0.234,0.599,76.1
BP,1736084612115,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.34,6388986.0,-1.0,-1.0,0.238,0.533,77.87
COP,1736084613921,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.3,3109142.0,-1.0,-1.0,0.57,-0.094,0.0
SHEL,1736084616247,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.81,5774582.0,-1.0,-1.0,1.137,-0.225,51.45
COP,1736084616555,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,99.95,3023421.0,-1.0,-1.0,0.563,-0.137,0.0
SHEL,1736084619971,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.57,5820700.0,-1.0,-1.0,1.16,-0.244,54.57
COP,1736084623069,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.2,3247361.0,-1.0,-1.0,0.557,-0.172,4.99
COP,1736084628842,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.52,3201912.0,-1.0,-1.0,0.553,-0.182,6.68
BP,1736084635317,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.15,6322794.0,-1.0,-1.0,0.233,0.456,87.65
COP,1736084636662,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.55,3527299.0,-1.0,-1.0,0.569,0.087,2.88
BP,1736084638636,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.95,6669292.0,-1.0,-1.0,0.236,0.489,95.54
COP,1736084644573,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.22,3424095.0,-1.0,-1.0,0.569,0.091,0.0
SHEL,1736084645363,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.63,5740727.0,-1.0,-1.0,1.235,-0.232,67.79
SHEL,1736084645889,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.64,5599908.0,-1.0,-1.0,1.257,-0.225,69.33
SHEL,1736084646128,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.6,5506612.0,-1.0,-1.0,1.27,-0.151,71.46
BP,1736084648005,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.9,6481598.0,-1.0,-1.0,0.239,0.469,94.12
SHEL,1736084648803,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.86,5604380.0,-1.0,-1.0,1.255,-0.191,71.87
BP,1736084650433,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.81,6166581.0,-1.0,-1.0,0.242,0.554,93.96
XOM,1736084651165,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.75,12207213.0,-1.0,-1.0,0.828,0.567,38.37
COP,1736084656801,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.41,3336542.0,-1.0,-1.0,0.583,0.124,2.14
BP,1736084658768,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.73,6007255.0,-1.0,-1.0,0.245,0.54,96.04
BP,1736084659367,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.82,5932121.0,-1.0,-1.0,0.243,0.587,96.09
SHEL,1736084659672,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.6,5789860.0,-1.0,-1.0,1.267,-0.053,69.84
BP,1736084665065,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.78,5777718.0,-1.0,-1.0,0.244,0.64,98.38
COP,1736084666251,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.45,3186686.0,-1.0,-1.0,0.566,-0.097,0.27
XOM,1736084666845,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.44,11390863.0,-1.0,-1.0,0.837,0.679,42.91
XOM,1736084670084,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.33,10851219.0,-1.0,-1.0,0.832,0.726,38.88
COP,1736084677517,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.06,3106043.0,-1.0,-1.0,0.555,-0.023,1.28
XOM,1736084682138,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,105.26,11430320.0,-1.0,-1.0,0.834,0.72,39.75
BP,1736084690001,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.59,5754147.0,-1.0,-1.0,0.249,0.76,96.1
BP,1736084690473,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.68,5665516.0,-1.0,-1.0,0.251,0.813,96.34
SHEL,1736084696671,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.52,5801883.0,-1.0,-1.0,1.263,-0.089,74.33
BP,1736084711373,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.88,5911148.0,-1.0,-1.0,0.253,0.902,100.0
BP,1736084713061,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.0,6042058.0,-1.0,-1.0,0.255,0.961,99.22
SHEL,1736084717439,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.55,6031760.0,-1.0,-1.0,1.261,-0.092,74.57
XOM,1736084720991,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,103.69,11608677.0,-1.0,-1.0,0.833,0.728,50.7
BP,1736084728797,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.55,6582535.0,-1.0,-1.0,0.245,0.702,86.05
COP,1736084735125,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.38,3228379.0,-1.0,-1.0,0.539,0.043,20.69
COP,1736084737401,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.85,3383907.0,-1.0,-1.0,0.544,0.006,16.36
XOM,1736084738540,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,103.22,12052875.0,-1.0,-1.0,0.846,0.593,45.96
BP,1736084740456,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.8,6219939.0,-1.0,-1.0,0.257,0.76,81.56
SHEL,1736084747405,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.84,7356120.0,-1.0,-1.0,1.299,0.073,76.7
XOM,1736084748571,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,103.55,12054004.0,-1.0,-1.0,0.854,0.597,45.27
COP,1736084749844,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.35,3263660.0,-1.0,-1.0,0.55,0.041,18.04
COP,1736084750756,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.76,3249145.0,-1.0,-1.0,0.553,0.004,22.26
SHEL,1736084752048,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.01,6999294.0,-1.0,-1.0,1.281,0.164,80.05
SHEL,1736084756893,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.9,6919991.0,-1.0,-1.0,1.289,0.244,74.69
COP,1736084757367,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.37,3402922.0,-1.0,-1.0,0.554,0.068,19.12
BP,1736084763707,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.77,6768940.0,-1.0,-1.0,0.265,0.766,79.89
COP,1736084766957,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.71,3267125.0,-1.0,-1.0,0.549,0.017,20.42
SHEL,1736084773236,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.3,6612065.0,-1.0,-1.0,1.274,0.234,76.08
COP,1736084776106,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.84,3548968.0,-1.0,-1.0,0.542,0.088,17.99
SHEL,1736084784024,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.35,7361972.0,-1.0,-1.0,1.303,0.04,82.74
COP,1736084785985,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,102.64,3680137.0,-1.0,-1.0,0.543,0.115,20.39
BP,1736084788700,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.9,6284635.0,-1.0,-1.0,0.255,0.892,83.33
SHEL,1736084789663,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.36,7554552.0,-1.0,-1.0,1.305,0.145,84.32
COP,1736084791466,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,103.12,3860161.0,-1.0,-1.0,0.542,0.193,22.72
BP,1736084793133,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.93,6840260.0,-1.0,-1.0,0.255,0.964,85.31
XOM,1736084803192,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.41,11858279.0,-1.0,-1.0,0.881,0.52,37.69
COP,1736084804421,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,102.67,4037431.0,-1.0,-1.0,0.542,0.261,27.33
BP,1736084806712,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.87,7328229.0,-1.0,-1.0,0.246,1.0,82.16
BP,1736084806948,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.73,7600240.0,-1.0,-1.0,0.241,1.0,85.37
SHEL,1736084810211,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.87,7303117.0,-1.0,-1.0,1.335,0.045,76.44
SHEL,1736084812147,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.56,7288504.0,-1.0,-1.0,1.357,0.086,75.39
XOM,1736084813688,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.92,11388045.0,-1.0,-1.0,0.871,0.56,43.74
XOM,1736084817601,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.33,10986852.0,-1.0,-1.0,0.864,0.593,44.26
XOM,1736084832526,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.94,10806587.0,-1.0,-1.0,0.866,0.58,47.1
COP,1736084833499,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,103.64,3563789.0,-1.0,-1.0,0.533,0.109,39.48
BP,1736084834542,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.05,7709329.0,-1.0,-1.0,0.243,0.91,82.33
BP,1736084838775,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.88,8164933.0,-1.0,-1.0,0.241,0.93,82.56
BP,1736084841157,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.9,7809268.0,-1.0,-1.0,0.243,0.995,79.9
SHEL,1736084848960,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,66.81,8521780.0,-1.0,-1.0,1.325,-0.488,49.01
